year,state,region,sightings_per_100k
1988,NJ,Northeast,NA
1988,NM,West,NA
1988,NV,West,NA
1988,NY,Northeast,NA
1988,OH,Midwest,NA
1988,OK,South,NA
1988,OR,West,NA
1988,PA,Northeast,NA
1988,SC,South,NA
1988,TX,South,NA
1988,UT,West,NA
1988,VA,South,NA
1988,VT,Northeast,NA
1988,WA,West,NA
1988,WI,Midwest,NA
1988,WV,South,NA
1989,AK,West,NA
1989,AL,South,NA
1989,AR,South,NA
1989,AZ,West,NA
1989,CA,West,NA
1989,CO,West,NA
1989,CT,Northeast,NA
1989,DE,South,NA
1989,FL,South,NA
1989,GA,South,NA
1989,HI,West,NA
1989,IA,Midwest,NA
1989,ID,West,NA
1989,IL,Midwest,NA
1989,IN,Midwest,NA
1989,KS,Midwest,NA
1989,KY,South,NA
1989,LA,South,NA
1989,MA,Northeast,NA
1989,MD,South,NA
1989,ME,Northeast,NA
1989,MI,Midwest,NA
1989,MO,Midwest,NA
1989,MS,South,NA
1989,MT,West,NA
1989,NC,South,NA
1989,NH,Northeast,NA
1989,NJ,Northeast,NA
1989,NM,West,NA
1989,NV,West,NA
1989,NY,Northeast,NA
1989,OH,Midwest,NA
1989,OK,South,NA
1989,OR,West,NA
1989,PA,Northeast,NA
1989,RI,Northeast,NA
1989,SC,South,NA
1989,TN,South,NA
1989,TX,South,NA
1989,UT,West,NA
1989,VA,South,NA
1989,VT,Northeast,NA
1989,WA,West,NA
1989,WI,Midwest,NA
1989,WV,South,NA
1989,WY,West,NA
1990,AK,West,NA
1990,AR,South,NA
1990,AZ,West,NA
1990,CA,West,NA
1990,CO,West,NA
1990,CT,Northeast,NA
1990,DE,South,NA
1990,FL,South,NA
1990,GA,South,NA
1990,HI,West,NA
1990,IA,Midwest,NA
1990,ID,West,NA
1990,IL,Midwest,NA
1990,IN,Midwest,NA
1990,KS,Midwest,NA
1990,KY,South,NA
1990,LA,South,NA
1990,MA,Northeast,NA
1990,MD,South,NA
1990,ME,Northeast,NA
1990,MI,Midwest,NA
1990,MN,Midwest,NA
1990,MO,Midwest,NA
1990,MT,West,NA
1990,NC,South,NA
1990,ND,Midwest,NA
1990,NE,Midwest,NA
1990,NH,Northeast,NA
1990,NJ,Northeast,NA
1990,NM,West,NA
1990,NV,West,NA
1990,NY,Northeast,NA
1990,OH,Midwest,NA
1990,OK,South,NA
1990,OR,West,NA
1990,PA,Northeast,NA
1990,RI,Northeast,NA
1990,SC,South,NA
1990,TN,South,NA
1990,TX,South,NA
1990,UT,West,NA
1990,VA,South,NA
1990,WA,West,NA
1990,WI,Midwest,NA
1991,AR,South,NA
1991,AZ,West,NA
1991,CA,West,NA
1991,CO,West,NA
1991,CT,Northeast,NA
1991,DE,South,NA
1991,FL,South,NA
1991,GA,South,NA
1991,HI,West,NA
1991,IA,Midwest,NA
1991,ID,West,NA
1991,IL,Midwest,NA
1991,IN,Midwest,NA
1991,KS,Midwest,NA
1991,KY,South,NA
1991,MA,Northeast,NA
1991,MD,South,NA
1991,ME,Northeast,NA
1991,MI,Midwest,NA
1991,MN,Midwest,NA
1991,MO,Midwest,NA
1991,MS,South,NA
1991,MT,West,NA
1991,NC,South,NA
1991,ND,Midwest,NA
1991,NE,Midwest,NA
1991,NH,Northeast,NA
1991,NJ,Northeast,NA
1991,NM,West,NA
1991,NV,West,NA
1991,NY,Northeast,NA
1991,OH,Midwest,NA
1991,OK,South,NA
1991,OR,West,NA
1991,PA,Northeast,NA
1991,SC,South,NA
1991,TN,South,NA
1991,TX,South,NA
1991,UT,West,NA
1991,VA,South,NA
1991,WA,West,NA
1991,WI,Midwest,NA
1992,AL,South,NA
1992,AR,South,NA
1992,AZ,West,NA
1992,CA,West,NA
1992,CO,West,NA
1992,CT,Northeast,NA
1992,FL,South,NA
1992,GA,South,NA
1992,HI,West,NA
1992,IA,Midwest,NA
1992,ID,West,NA
1992,IL,Midwest,NA
1992,IN,Midwest,NA
1992,KS,Midwest,NA
1992,KY,South,NA
1992,LA,South,NA
1992,MA,Northeast,NA
1992,MD,South,NA
1992,ME,Northeast,NA
1992,MI,Midwest,NA
1992,MN,Midwest,NA
1992,MO,Midwest,NA
1992,MS,South,NA
1992,MT,West,NA
1992,NC,South,NA
1992,NE,Midwest,NA
1992,NH,Northeast,NA
1992,NJ,Northeast,NA
1992,NM,West,NA
1992,NV,West,NA
1992,NY,Northeast,NA
1992,OH,Midwest,NA
1992,OK,South,NA
1992,OR,West,NA
1992,PA,Northeast,NA
1992,SC,South,NA
1992,SD,Midwest,NA
1992,TN,South,NA
1992,TX,South,NA
1992,UT,West,NA
1992,VA,South,NA
1992,VT,Northeast,NA
1992,WA,West,NA
1992,WI,Midwest,NA
1992,WV,South,NA
1992,WY,West,NA
1993,AK,West,NA
1993,AL,South,NA
1993,AR,South,NA
1993,AZ,West,NA
1993,CA,West,NA
1993,CO,West,NA
1993,CT,Northeast,NA
1993,DE,South,NA
1993,FL,South,NA
1993,GA,South,NA
1993,HI,West,NA
1993,IA,Midwest,NA
1993,ID,West,NA
1993,IL,Midwest,NA
1993,IN,Midwest,NA
1993,KS,Midwest,NA
1993,KY,South,NA
1993,LA,South,NA
1993,MA,Northeast,NA
1993,MD,South,NA
1993,ME,Northeast,NA
1993,MI,Midwest,NA
1993,MN,Midwest,NA
1993,MO,Midwest,NA
1993,MS,South,NA
1993,MT,West,NA
1993,NC,South,NA
1993,NE,Midwest,NA
1993,NH,Northeast,NA
1993,NJ,Northeast,NA
1993,NM,West,NA
1993,NV,West,NA
1993,NY,Northeast,NA
1993,OH,Midwest,NA
1993,OK,South,NA
1993,OR,West,NA
1993,PA,Northeast,NA
1993,RI,Northeast,NA
1993,SC,South,NA
1993,SD,Midwest,NA
1993,TN,South,NA
1993,TX,South,NA
1993,UT,West,NA
1993,VA,South,NA
1993,VT,Northeast,NA
1993,WA,West,NA
1993,WI,Midwest,NA
1993,WY,West,NA
1994,AK,West,NA
1994,AL,South,NA
1994,AR,South,NA
1994,AZ,West,NA
1994,CA,West,NA
1994,CO,West,NA
1994,CT,Northeast,NA
1994,DE,South,NA
1994,FL,South,NA
1994,GA,South,NA
1994,HI,West,NA
1994,IA,Midwest,NA
1994,ID,West,NA
1994,IL,Midwest,NA
1994,IN,Midwest,NA
1994,KS,Midwest,NA
1994,KY,South,NA
1994,LA,South,NA
1994,MA,Northeast,NA
1994,MD,South,NA
1994,ME,Northeast,NA
1994,MI,Midwest,NA
1994,MN,Midwest,NA
1994,MO,Midwest,NA
1994,MS,South,NA
1994,MT,West,NA
1994,NC,South,NA
1994,NE,Midwest,NA
1994,NJ,Northeast,NA
1994,NM,West,NA
1994,NV,West,NA
1994,NY,Northeast,NA
1994,OH,Midwest,NA
1994,OK,South,NA
1994,OR,West,NA
1994,PA,Northeast,NA
1994,SC,South,NA
1994,SD,Midwest,NA
1994,TN,South,NA
1994,TX,South,NA
1994,UT,West,NA
1994,VA,South,NA
1994,WA,West,NA
1994,WI,Midwest,NA
1994,WV,South,NA
1994,WY,West,NA
1995,AK,West,NA
1995,AL,South,NA
1995,AR,South,NA
1995,AZ,West,NA
1995,CA,West,NA
1995,CO,West,NA
1995,CT,Northeast,NA
1995,DE,South,NA
1995,FL,South,NA
1995,GA,South,NA
1995,HI,West,NA
1995,IA,Midwest,NA
1995,ID,West,NA
1995,IL,Midwest,NA
1995,IN,Midwest,NA
1995,KS,Midwest,NA
1995,KY,South,NA
1995,LA,South,NA
1995,MA,Northeast,NA
1995,MD,South,NA
1995,ME,Northeast,NA
1995,MI,Midwest,NA
1995,MN,Midwest,NA
1995,MO,Midwest,NA
1995,MS,South,NA
1995,MT,West,NA
1995,NC,South,NA
1995,ND,Midwest,NA
1995,NE,Midwest,NA
1995,NH,Northeast,NA
1995,NJ,Northeast,NA
1995,NM,West,NA
1995,NV,West,NA
1995,NY,Northeast,NA
1995,OH,Midwest,NA
1995,OK,South,NA
1995,OR,West,NA
1995,PA,Northeast,NA
1995,RI,Northeast,NA
1995,SC,South,NA
1995,SD,Midwest,NA
1995,TN,South,NA
1995,TX,South,NA
1995,UT,West,NA
1995,VA,South,NA
1995,VT,Northeast,NA
1995,WA,West,NA
1995,WI,Midwest,NA
1995,WV,South,NA
1995,WY,West,NA
1996,AK,West,NA
1996,AL,South,NA
1996,AR,South,NA
1996,AZ,West,NA
1996,CA,West,NA
1996,CO,West,NA
1996,CT,Northeast,NA
1996,FL,South,NA
1996,GA,South,NA
1996,IA,Midwest,NA
1996,ID,West,NA
1996,IL,Midwest,NA
1996,IN,Midwest,NA
1996,KS,Midwest,NA
1996,KY,South,NA
1996,LA,South,NA
1996,MA,Northeast,NA
1996,MD,South,NA
1996,ME,Northeast,NA
1996,MI,Midwest,NA
1996,MN,Midwest,NA
1996,MO,Midwest,NA
1996,MS,South,NA
1996,MT,West,NA
1996,NC,South,NA
1996,ND,Midwest,NA
1996,NE,Midwest,NA
1996,NH,Northeast,NA
1996,NJ,Northeast,NA
1996,NM,West,NA
1996,NV,West,NA
1996,NY,Northeast,NA
1996,OH,Midwest,NA
1996,OK,South,NA
1996,OR,West,NA
1996,PA,Northeast,NA
1996,RI,Northeast,NA
1996,SC,South,NA
1996,SD,Midwest,NA
1996,TN,South,NA
1996,TX,South,NA
1996,UT,West,NA
1996,VA,South,NA
1996,VT,Northeast,NA
1996,WA,West,NA
1996,WI,Midwest,NA
1996,WV,South,NA
1996,WY,West,NA
1997,AK,West,NA
1997,AL,South,NA
1997,AR,South,NA
1997,AZ,West,NA
1997,CA,West,NA
1997,CO,West,NA
1997,CT,Northeast,NA
1997,DE,South,NA
1997,FL,South,NA
1997,GA,South,NA
1997,HI,West,NA
1997,IA,Midwest,NA
1997,ID,West,NA
1997,IL,Midwest,NA
1997,IN,Midwest,NA
1997,KS,Midwest,NA
1997,KY,South,NA
1997,LA,South,NA
1997,MA,Northeast,NA
1997,MD,South,NA
1997,ME,Northeast,NA
1997,MI,Midwest,NA
1997,MN,Midwest,NA
1997,MO,Midwest,NA
1997,MS,South,NA
1997,MT,West,NA
1997,NC,South,NA
1997,ND,Midwest,NA
1997,NE,Midwest,NA
1997,NH,Northeast,NA
1997,NJ,Northeast,NA
1997,NM,West,NA
