year,state,num_sightings,name,region,decade,population,(num_sightings/population) * 1000,2017,breweries,per_capita_gdp_current,num_movies,Urban,Suburban,Rural
1977,GA,4,Georgia,South,1970,4589575,8.715403931736599e-4,NA,NA,10310,3,NA,NA,NA
1977,HI,2,Hawaii,West,1970,768561,0.0026022657928258136,NA,NA,10310,3,NA,NA,NA
1977,IA,1,Iowa,Midwest,1970,2824376,3.540605075244939e-4,NA,NA,10310,3,NA,NA,NA
1977,ID,2,Idaho,West,1970,712567,0.002806753610537676,NA,NA,10310,3,NA,NA,NA
1977,IL,12,Illinois,Midwest,1970,11113976,0.0010797216045814748,NA,NA,10310,3,NA,NA,NA
1977,IN,8,Indiana,Midwest,1970,5193669,0.0015403368986356275,NA,NA,10310,3,NA,NA,NA
1977,KS,1,Kansas,Midwest,1970,2246578,4.4512142467343664e-4,NA,NA,10310,3,NA,NA,NA
1977,KY,10,Kentucky,South,1970,3218706,0.0031068385866866994,NA,NA,10310,3,NA,NA,NA
1977,LA,3,Louisiana,South,1970,3641306,8.23880223194645e-4,NA,NA,10310,3,NA,NA,NA
1977,MA,4,Massachusetts,Northeast,1970,5689170,7.03090257454075e-4,NA,NA,10310,3,NA,NA,NA
1977,MD,7,Maryland,South,1970,3922399,0.0017846221151902192,NA,NA,10310,3,NA,NA,NA
1977,ME,2,Maine,Northeast,1970,992048,0.002016031482347628,NA,NA,10310,3,NA,NA,NA
1977,MI,8,Michigan,Midwest,1970,8875083,9.014000207096655e-4,NA,NA,10310,3,NA,NA,NA
1977,MN,3,Minnesota,Midwest,1970,3804971,7.884422772210354e-4,NA,NA,10310,3,NA,NA,NA
1977,MO,6,Missouri,Midwest,1970,4676501,0.001283010524321496,NA,NA,10310,3,NA,NA,NA
1977,MS,9,Mississippi,South,1970,2216912,0.004059701061656935,NA,NA,10310,3,NA,NA,NA
1977,MT,1,Montana,West,1970,694409,0.001440073501351509,NA,NA,10310,3,NA,NA,NA
1977,NC,5,North Carolina,South,1970,5082059,9.8385319808369e-4,NA,NA,10310,3,NA,NA,NA
1977,ND,2,North Dakota,Midwest,1970,617761,0.0032374979967981147,NA,NA,10310,3,NA,NA,NA
1977,NE,1,Nebraska,Midwest,1970,1483493,6.740847445859199e-4,NA,NA,10310,3,NA,NA,NA
1977,NH,10,New Hampshire,Northeast,1970,737681,0.013555995071040192,NA,NA,10310,3,NA,NA,NA
1977,NJ,1,New Jersey,Northeast,1970,7168164,1.3950573675490684e-4,NA,NA,10310,3,NA,NA,NA
1977,NM,4,New Mexico,West,1970,1016e3,0.003937007874015748,NA,NA,10310,3,NA,NA,NA
1977,NV,2,Nevada,West,1970,488738,0.004092172084020477,NA,NA,10310,3,NA,NA,NA
1977,NY,15,New York,Northeast,1970,18236967,8.225051895964937e-4,NA,NA,10310,3,NA,NA,NA
1977,OH,10,Ohio,Midwest,1970,10652017,9.387893391458162e-4,NA,NA,10310,3,NA,NA,NA
1977,OK,3,Oklahoma,South,1970,2559229,0.001172228042117372,NA,NA,10310,3,NA,NA,NA
1977,OR,6,Oregon,West,1970,2091385,0.0028689122280211436,NA,NA,10310,3,NA,NA,NA
1977,PA,12,Pennsylvania,Northeast,1970,11793909,0.0010174743590102315,NA,NA,10310,3,NA,NA,NA
1977,RI,3,Rhode Island,Northeast,1970,946725,0.0031688188227838076,NA,NA,10310,3,NA,NA,NA
1977,SC,4,South Carolina,South,1970,2590516,0.0015440939179684665,NA,NA,10310,3,NA,NA,NA
1977,TN,2,Tennessee,South,1970,3923687,5.097246543875697e-4,NA,NA,10310,3,NA,NA,NA
1977,TX,14,Texas,South,1970,11196730,0.001250365061942192,NA,NA,10310,3,NA,NA,NA
1977,UT,1,Utah,West,1970,1059273,9.440436978946882e-4,NA,NA,10310,3,NA,NA,NA
1977,VA,2,Virginia,South,1970,4648494,4.3024687135231323e-4,NA,NA,10310,3,NA,NA,NA
1977,VT,3,Vermont,Northeast,1970,444330,0.006751738572682466,NA,NA,10310,3,NA,NA,NA
1977,WA,7,Washington,West,1970,3409169,0.002053286299388502,NA,NA,10310,3,NA,NA,NA
1977,WI,5,Wisconsin,Midwest,1970,4417731,0.0011318027285952901,NA,NA,10310,3,NA,NA,NA
1977,WV,1,West Virginia,South,1970,1744237,5.733165848448347e-4,NA,NA,10310,3,NA,NA,NA
1978,AK,3,Alaska,West,1970,300382,0.009987282859825156,NA,NA,11313,10,NA,NA,NA
1978,AL,5,Alabama,South,1970,3444165,0.0014517306807310336,NA,NA,11313,10,NA,NA,NA
1978,AZ,8,Arizona,West,1970,1770900,0.004517476989101587,NA,NA,11313,10,NA,NA,NA
1978,CA,54,California,West,1970,19953134,0.002706341770671214,NA,NA,11313,10,NA,NA,NA
1978,CO,3,Colorado,West,1970,2207259,0.00135915178055679,NA,NA,11313,10,NA,NA,NA
1978,CT,4,Connecticut,Northeast,1970,3031709,0.0013193878436221947,NA,NA,11313,10,NA,NA,NA
1978,FL,11,Florida,South,1970,6789443,0.0016201623608888091,NA,NA,11313,10,NA,NA,NA
1978,GA,7,Georgia,South,1970,4589575,0.0015251956880539049,NA,NA,11313,10,NA,NA,NA
1978,HI,1,Hawaii,West,1970,768561,0.0013011328964129068,NA,NA,11313,10,NA,NA,NA
1978,IA,2,Iowa,Midwest,1970,2824376,7.081210150489878e-4,NA,NA,11313,10,NA,NA,NA
1978,ID,3,Idaho,West,1970,712567,0.004210130415806514,NA,NA,11313,10,NA,NA,NA
1978,IL,9,Illinois,Midwest,1970,11113976,8.097912034361061e-4,NA,NA,11313,10,NA,NA,NA
1978,IN,8,Indiana,Midwest,1970,5193669,0.0015403368986356275,NA,NA,11313,10,NA,NA,NA
1978,KS,3,Kansas,Midwest,1970,2246578,0.0013353642740203098,NA,NA,11313,10,NA,NA,NA
1978,KY,3,Kentucky,South,1970,3218706,9.320515760060099e-4,NA,NA,11313,10,NA,NA,NA
1978,LA,6,Louisiana,South,1970,3641306,0.00164776044638929,NA,NA,11313,10,NA,NA,NA
1978,MA,16,Massachusetts,Northeast,1970,5689170,0.0028123610298163,NA,NA,11313,10,NA,NA,NA
1978,MD,1,Maryland,South,1970,3922399,2.549460164557456e-4,NA,NA,11313,10,NA,NA,NA
1978,ME,3,Maine,Northeast,1970,992048,0.0030240472235214424,NA,NA,11313,10,NA,NA,NA
1978,MI,23,Michigan,Midwest,1970,8875083,0.002591525059540288,NA,NA,11313,10,NA,NA,NA
1978,MN,5,Minnesota,Midwest,1970,3804971,0.001314070462035059,NA,NA,11313,10,NA,NA,NA
1978,MO,9,Missouri,Midwest,1970,4676501,0.001924515786482244,NA,NA,11313,10,NA,NA,NA
1978,MS,5,Mississippi,South,1970,2216912,0.0022553894786982976,NA,NA,11313,10,NA,NA,NA
1978,MT,2,Montana,West,1970,694409,0.002880147002703018,NA,NA,11313,10,NA,NA,NA
1978,NC,7,North Carolina,South,1970,5082059,0.0013773944773171661,NA,NA,11313,10,NA,NA,NA
1978,ND,2,North Dakota,Midwest,1970,617761,0.0032374979967981147,NA,NA,11313,10,NA,NA,NA
1978,NH,9,New Hampshire,Northeast,1970,737681,0.012200395563936173,NA,NA,11313,10,NA,NA,NA
1978,NJ,8,New Jersey,Northeast,1970,7168164,0.0011160458940392547,NA,NA,11313,10,NA,NA,NA
1978,NM,5,New Mexico,West,1970,1016e3,0.004921259842519685,NA,NA,11313,10,NA,NA,NA
1978,NV,2,Nevada,West,1970,488738,0.004092172084020477,NA,NA,11313,10,NA,NA,NA
1978,NY,20,New York,Northeast,1970,18236967,0.0010966735861286582,NA,NA,11313,10,NA,NA,NA
1978,OH,9,Ohio,Midwest,1970,10652017,8.449104052312346e-4,NA,NA,11313,10,NA,NA,NA
1978,OK,1,Oklahoma,South,1970,2559229,3.907426807057907e-4,NA,NA,11313,10,NA,NA,NA
1978,OR,6,Oregon,West,1970,2091385,0.0028689122280211436,NA,NA,11313,10,NA,NA,NA
1978,PA,17,Pennsylvania,Northeast,1970,11793909,0.0014414220085978279,NA,NA,11313,10,NA,NA,NA
1978,RI,1,Rhode Island,Northeast,1970,946725,0.0010562729409279359,NA,NA,11313,10,NA,NA,NA
1978,SC,4,South Carolina,South,1970,2590516,0.0015440939179684665,NA,NA,11313,10,NA,NA,NA
1978,SD,1,South Dakota,Midwest,1970,665507,0.0015026137966993585,NA,NA,11313,10,NA,NA,NA
1978,TN,8,Tennessee,South,1970,3923687,0.0020388986175502786,NA,NA,11313,10,NA,NA,NA
1978,TX,22,Texas,South,1970,11196730,0.001964859383052016,NA,NA,11313,10,NA,NA,NA
1978,UT,1,Utah,West,1970,1059273,9.440436978946882e-4,NA,NA,11313,10,NA,NA,NA
1978,VA,3,Virginia,South,1970,4648494,6.4537030702847e-4,NA,NA,11313,10,NA,NA,NA
1978,WA,14,Washington,West,1970,3409169,0.004106572598777004,NA,NA,11313,10,NA,NA,NA
1978,WI,2,Wisconsin,Midwest,1970,4417731,4.527210914381161e-4,NA,NA,11313,10,NA,NA,NA
1978,WV,2,West Virginia,South,1970,1744237,0.0011466331696896694,NA,NA,11313,10,NA,NA,NA
1978,WY,1,Wyoming,West,1970,332416,0.0030082787832113977,NA,NA,11313,10,NA,NA,NA
1979,AL,1,Alabama,South,1970,3444165,2.903461361462067e-4,NA,NA,12493,4,NA,NA,NA
1979,AR,2,Arkansas,South,1970,1923295,0.001039882077372426,NA,NA,12493,4,NA,NA,NA
1979,AZ,6,Arizona,West,1970,1770900,0.0033881077418261903,NA,NA,12493,4,NA,NA,NA
1979,CA,38,California,West,1970,19953134,0.0019044627275093726,NA,NA,12493,4,NA,NA,NA
1979,CO,3,Colorado,West,1970,2207259,0.00135915178055679,NA,NA,12493,4,NA,NA,NA
1979,CT,1,Connecticut,Northeast,1970,3031709,3.2984696090554867e-4,NA,NA,12493,4,NA,NA,NA
1979,FL,11,Florida,South,1970,6789443,0.0016201623608888091,NA,NA,12493,4,NA,NA,NA
1979,GA,6,Georgia,South,1970,4589575,0.00130731058976049,NA,NA,12493,4,NA,NA,NA
1979,HI,1,Hawaii,West,1970,768561,0.0013011328964129068,NA,NA,12493,4,NA,NA,NA
1979,IA,2,Iowa,Midwest,1970,2824376,7.081210150489878e-4,NA,NA,12493,4,NA,NA,NA
1979,IL,13,Illinois,Midwest,1970,11113976,0.0011696984049632641,NA,NA,12493,4,NA,NA,NA
1979,IN,6,Indiana,Midwest,1970,5193669,0.0011552526739767206,NA,NA,12493,4,NA,NA,NA
1979,KY,4,Kentucky,South,1970,3218706,0.00124273543467468,NA,NA,12493,4,NA,NA,NA
1979,LA,5,Louisiana,South,1970,3641306,0.0013731337053244084,NA,NA,12493,4,NA,NA,NA
1979,MA,5,Massachusetts,Northeast,1970,5689170,8.788628218175938e-4,NA,NA,12493,4,NA,NA,NA
1979,MD,5,Maryland,South,1970,3922399,0.001274730082278728,NA,NA,12493,4,NA,NA,NA
1979,ME,3,Maine,Northeast,1970,992048,0.0030240472235214424,NA,NA,12493,4,NA,NA,NA
1979,MI,12,Michigan,Midwest,1970,8875083,0.0013521000310644982,NA,NA,12493,4,NA,NA,NA
1979,MN,4,Minnesota,Midwest,1970,3804971,0.001051256369628047,NA,NA,12493,4,NA,NA,NA
1979,MO,5,Missouri,Midwest,1970,4676501,0.0010691754369345798,NA,NA,12493,4,NA,NA,NA
