Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,year
3893888,401851,2718215,2286435,23667902,2889964,3107576,594338,9746324,5463105,964691,943935,11426518,5490224,2913808,2363679,3660777,4205900,1124660,4216975,5737037,9262078,4075970,2520638,4916686,786690,1569825,800493,920610,7364823,1302894,17558072,5881766,652717,10797630,3025290,2633105,11863895,947154,3121820,690768,4591120,14229191,1461037,511456,5346818,4132156,1949644,4705767,469557,1980
3910217.566,417102.311,2800648.1465,2294430.5415,24258864.5625,2923111.384,3124411.135,599832.963,10062133.1295,5544789.3385,981427.439,949425.027,11410906.3655,5490551.4855,2899340.4585,2372830.4685,3666230.886,4215505.8395,1137020.5435,4267540.748,5757470.7045,9258603.955,4099167.6355,2526929.225,4931236.8855,787875.3855,1569813.631,829170.8025,940588.3985,7388964.7105,1323759.7575,17558763.2125,5942836.2875,652262.902,10793789.631,3041966.002,2653675.348,11858480.1935,951495.951,3159206.5795,690597.6355,4617149.8135,14488294.5165,1485256.8565,517019.9895,5426200.6655,4198133.978,1939488.521,4720090.442,470689.6875,1981
3923880.5013333336,432746.32355555554,2883321.1653333334,2299795.7564444444,24870489.240000002,2953965.1564444443,3142179.5555555555,605588.624,10379975.042666666,5628118.430222223,997666.6142222222,953482.256,11392868.766222222,5488879.912888889,2882936.8924444444,2381995.976888889,3668005.350222222,4220124.144888889,1149080.6391111112,4320559.810666666,5780039.340444445,9252051.057777777,4122725.401777778,2530992.831111111,4945556.290666667,788370.744,1569150.1413333334,858873.3511111111,960574.7902222222,7414771.237333333,1343973.2533333334,17569880.586666666,6003808.2,651373.7048888889,10789244.679111112,3055554.953777778,2671347.104,11852800.541333333,956337.8613333333,3195167.078222222,690272.4862222222,4639920.301333333,14745571.369777778,1508328.6453333334,522428.66044444445,5506929.966222222,4264337.401777778,1926100.1635555555,4733598.718222222,470448.1511111111,1982
3935738.487,448599.76533333334,2967166.4505,2303386.4721666668,25496548.5175,2983993.3896666667,3160624.5183333335,611647.891,10699366.7015,5714127.722833334,1013396.4463333334,956709.934,11374649.941833334,5486381.096833333,2865386.8311666665,2391356.762833333,3667230.010333333,4220942.029833334,1160783.4761666667,4375602.491,5804567.733166667,9244140.206666667,4147067.8551666667,2533578.0566666666,4960188.3385,788439.1785,1568151.357,890171.0491666667,980473.3278333333,7442651.1735,1363808.3975,17591059.9025,6065853.3625,650134.4373333333,10784991.768666666,3066827.290666667,2687236.511,11847554.4945,961599.667,3230161.419833333,689908.4268333333,4660868.4345,15003092.257166667,1530846.3455,527704.1081666667,5588890.191833333,4331304.6976666665,1910236.1553333334,4746953.912333333,469120.25916666666,1983
3946653.204,464479.364,3053116.396,2306058.516,26130814.88,3014664.156,3179489.28,618053.672,11019825.068,5803852.664,1028604.856,959711.308,11358494.632,5484226.852,2847479.804,2401094.064,3665034.484,4219146.608,1172072.244,4432239.092,5830880.708,9236592.3,4172619.552,2535434.14,4975677.152,788343.792,1567134.104,923634.3,1000188.164,7473013.112,1383539.1,17621936.94,6130143.4,648630.128,10782027.524,3076553.448,2702459.812,11843440.504,967201.304,3264649.528,689621.332,4681431.184,15262927.876,1553403.936,532868.428,5671965.632,4399574.292,1892653.724,4760818.108,466993.88,1984
3957486.3333333335,480201.84722222225,3142103.3958333335,2308667.715277778,26767060.8125,3047445.527777778,3198517.097222222,624848.875,11340867.104166666,5898328.701388889,1043279.7638888889,963089.625,11346647.576388888,5483588.993055556,2830005.340277778,2411389.1180555555,3662548.388888889,4215924.993055556,1182890.1319444445,4490039.916666667,5858803.090277778,9231128.236111112,4199805.048611111,2537310.3194444445,4992566.854166667,788347.6875,1566415.2083333333,959833.5069444445,1019623.4513888889,7506265.645833333,1403439.2708333333,17662147.479166668,6197849.9375,646945.8055555555,10781348.569444444,3085503.861111111,2718133.25,11841157.020833334,973062.7083333334,3299091.326388889,689527.0763888889,4703045.520833333,15527148.923611112,1576595.3958333333,537943.7152777778,5756040.576388889,4469684.611111111,1874110.0972222222,4775853.388888889,464356.88194444444,1985
3969099.556,495583.9426666667,3235059.844,2312069.8973333333,27399058.8,3083805.5773333334,3217451.2266666666,632076.408,11662009.772,5998591.282666666,1057409.0906666666,967448.132,11341353.514666667,5485639.334666667,2813752.9693333334,2422423.162666667,3660901.3426666665,4212464.298666666,1193180.3293333333,4548575.268,5888159.705333333,9229468.913333334,4229048.901333333,2539955.8333333335,5011401.568,788713.968,1566311.496,999339.0733333332,1038683.3426666667,7542817.368,1423782.82,17711327.3,6270144.6,645166.4986666667,10783951.529333333,3094448.9653333332,2735373.068,11841402.496,979103.816,3333946.7386666667,689741.5346666666,4727148.416,15797826.097333334,1601014.704,542952.0653333333,5840999.314666667,4542174.081333334,1855362.5026666666,4792721.838666666,461497.1333333333,1986
3982354.553,510442.378,3332918.1345,2317120.8895,28020581.3275,3125212.377,3236034.925,639779.179,11982770.0335,6105675.8555,1070980.757,973390.076,11344857.1865,5491549.6915,2799512.2205,2434377.4355,3661222.963,4209951.6385,1202886.0255,4607415.449,5918775.3785,9233335.23,4260775.6665,2544119.92,5032725.4165,789705.7365,1567139.793,1042721.4025000001,1057271.9905,7583076.8715,1444843.6575,17769112.1825,6348199.0125,643377.236,10790833.028,3104159.196,2755295.509,11844875.3805,985244.563,3369675.6885,690380.5815,4755176.8405,16077030.0945,1627255.8395,547915.5734999999,5926726.1365,4617581.129,1837168.168,4812085.541,458702.5025,1987
3998113.0053333333,524593.8808888888,3436610.6613333332,2324676.5191111113,28625400.880000003,3173133.9991111113,3254011.448888889,648000.096,12302664.850666666,6220617.867555556,1083982.6835555555,981518.704,11359403.331555557,5502491.878222222,2788072.623111111,2447433.174222222,3664642.8675555554,4209574.126222222,1211950.4097777777,4666130.762666667,5950474.935111111,9244448.084444445,4295409.900444444,2550551.8177777776,5057082.522666667,791586.096,1569216.9253333334,1090550.8977777776,1075293.5475555556,7627452.749333333,1466895.6933333334,17835137.906666666,6433184.8,641663.0462222223,10802989.689777778,3115404.9884444443,2779016.816,11852274.125333333,991404.8853333334,3406738.0995555557,691560.0915555556,4788567.765333333,16366831.612444445,1655912.7813333333,552856.3351111112,6013105.331555556,4696444.1804444445,1820284.3208888888,4834606.579555555,456260.85777777777,1988
4017236.594,537855.179,3547069.8185,2335592.6135,29207289.942500003,3229038.516,3271124.055,656782.067,12621211.1855,6344452.7665,1096402.791,992437.263,11387236.6895,5519637.7095,2780223.7065,2461771.6165,3672290.674,4212518.8755,1220316.6715,4724291.512,5983083.2005,9264528.375,4333376.1595,2560000.765,5085017.0095,794618.1494999999,1572859.719,1143397.9625,1092652.1665,7676353.5945,1490212.8375,17909040.2525,6526273.5875,640108.958,10821418.139,3128956.778,2807653.232,11864297.1815,997504.719,3445593.8955,693395.9395,4828758.1615,16669301.3485,1687579.5085,557796.4455,6100021.1895,4779301.6620000005,1805468.189,4860947.038,454460.0675,1989
