Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,year
4712786.652,678802.5156666667,6085246.6575,2876947.6998333335,36208678.0415,4902823.621333333,3510054.1936666667,867257.525,17982202.5925,9321059.880166667,1305372.8796666667,1504757.895,12877443.127166666,6421208.2091666665,3037096.1008333336,2818486.100166667,4286175.7546666665,4565428.483166667,1307398.5538333333,5631801.204,6513359.418833333,10064435.756333333,5233122.895833333,2972892.2623333335,5905190.8485,972883.8525,1804150.501,2533490.5088333334,1295621.2381666666,8752561.6675,2004982.9645,19390060.7395,9126736.8545,660393.7186666667,11569505.900333334,3677053.3153333333,3765287.93,12599715.2205,1057068.139,4438749.515166666,800226.3451666667,6215167.7405,23864919.640833333,2619697.6355,625352.7598333333,7721703.659166667,6529748.519333333,1848807.0636666666,5636245.414666667,542512.4918333334,2007
4739120.701333333,688458.2248888889,6196253.213333333,2894058.207111111,36550854.656,4956060.743111111,3529821.2168888887,877958,18257978.066666666,9453635.819555555,1322472.9075555555,1528168.56,12882215.387555556,6449275.902222222,3043573.151111111,2831819.086222222,4308385.347555555,4560754.638222222,1313749.1697777777,5679151.122666666,6527690.983111111,10023310.996444445,5262045.204444445,2976044.473777778,5937342.850666666,979596.28,1813100.8773333333,2594636.9297777778,1302847.1315555556,8774381.253333334,2025162.7813333333,19401723.594666667,9268141.528,664140.3502222223,11568965.145777777,3703838.9724444444,3794094.32,12637156.165333332,1056195.5493333333,4500898.899555556,805385.5795555556,6266926.445333334,24294324.724444445,2669799.5653333333,625992.2471111111,7814617.275555556,6601160.108444445,1851456.3368888889,5658722.627555556,549605.7617777778,2008
4761548.381,698908.482,6298750.7975,2907161.1545,36898863.5845,4998478.659,3551131.761,888199.725,18531039.9925,9576133.5805,1340753.719,1549189.25,12867132.3315,6470345.6325,3046764.8375,2843410.7505,4326246.039,4550208.9895,1320715.7465,5726397.547,6539176.6515,9963481.704,5285780.9675,2974301.942,5965375.6255,985142.2175,1820545.083,2650486.8315,1309791.2995,8787700.5025,2043280.0085,19398116.6735,9404593.0135,668202.8859999999,11558224.246,3728667.916,3816202.765,12671497.3415,1054704.887,4563127.8555,810054.5005,6310799.3015,24721431.697499998,2717938.0565,626129.6345,7907730.4775,6666253.903,1852899.066,5675780.989,556652.4355,2009
4779736,710231,6392017,2915918,37253956,5029196,3574097,897934,18801310,9687653,1360301,1567582,12830632,6483802,3046355,2853118,4339367,4533372,1328361,5773552,6547629,9883640,5303925,2967297,5988927,989415,1826341,2700551,1316470,8791894,2059179,19378102,9535483,672591,11536504,3751351,3831074,12702379,1052567,4625364,814180,6346105,25145561,2763885,625741,8001024,6724540,1852994,5686986,563626,2010
4793349.867333333,722503.4918888889,6475329.410833334,2919990.201611111,37617383.0755,5047331.397111111,3598828.107888889,907112.125,19068709.719166666,9787293.915055556,1381200.4365555556,1583108.845,12771152.434055556,6489029.604722222,3042027.478611111,2860797.7417222224,4347357.401555556,4509824.132722222,1336747.6462777779,5820626.0046666665,6552860.604611111,9782478.005444445,5316072.116944444,2954661.9807777777,6007634.801166667,992307.9625,1830346.5103333334,2744340.2212777776,1322899.4910555556,8786336.330833333,2072704.1098333334,19340541.598166667,9660203.1765,677314.3662222222,11503025.206777778,3771699.0784444446,3838168.76,12729441.391833333,1049752.7363333334,4687534.950055555,817708.9700555556,6372162.231833333,25566033.071944445,2807412.2868333333,624802.4216111111,8094478.578055556,6775528.496444444,1851599.8878888888,5691903.161555556,570499.9422777778,2011
4802056.292,735803.6706666667,6547965.62,2919039.217333333,37990395.984,5052003.481333333,3625436.2586666667,915685.4,19333160.78,9874156.162666667,1403537.7146666667,1595531.82,12687131.674666667,6485413.046666667,3033466.1133333333,2866306.8826666665,4349826.414666667,4479145.850666666,1345938.4013333332,5867631.084,6554684.041333334,9658687.841333333,5321817.133333334,2936029.217333333,6021136.856,993714.44,1832419.496,2781365.2813333333,1329096.0306666666,8770402.08,2083699.692,19284297.492,9778145.232,682382.6586666667,11457008.665333332,3789523.0053333333,3836947.78,12752324.768,1046232.944,4749568.3226666665,820588.3026666667,6388289.688,25982168.35333333,2848291.808,623289.9773333333,8188074.946666666,6818729.489333333,1848575.4786666667,5690097.974666666,577247.7493333333,2012
4805521.583,750209.2493333333,6609203.2175,2912726.5051666666,38374245.8985,5042330.883666666,3654032.6263333336,923605.125,19594584.8125,9947339.579833332,1427398.5203333334,1604612.96,12577007.762833333,6472336.925833333,3020354.7441666666,2869502.3298333334,4346383.210333333,4440917.616833333,1355995.9811666666,5914578.761,6552911.886166667,9510961.628666667,5320754.864166667,2911031.0426666667,6029070.9915,993527.7675,1832417.839,2811136.9661666667,1335075.8768333334,8743465.8325,2092010.1005,19208231.7055,9888700.8555,687805.5513333334,11397675.174666667,3804633.634666667,3826871.795,12770669.3795,1041978.471,4811391.734833334,822764.8898333333,6393806.0595,26393287.284166668,2886295.4545,621179.7451666667,8281793.840833333,6853653.075666667,1843779.5213333333,5681135.940333334,583842.9081666666,2013
4803412.049333333,765797.9408888889,6658319.793333333,2900713.523111111,38770183.992,5017432.235111111,3684728.384888889,930822.6,19852903.446666665,10005944.003555555,1452868.5395555557,1610114.3,12439218.739555556,6449185.842222222,3002377.211111111,2870240.990222222,4336636.959555555,4394719.894222222,1366983.1017777778,5961480.558666667,6547356.715111111,9337991.488444444,5312480.124444445,2879299.7897777776,6031075.034666667,991641.28,1830199.4213333332,2833166.061777778,1340855.2875555556,8704902.173333334,2097479.689333333,19111206.262666665,9991261.736,693592.7182222222,11324245.533777777,3816841.8204444447,3807401.54,12784115.477333333,1036960.1653333333,4872932.803555556,824185.6235555556,6388030.037333333,26798710.304444443,2921195.1173333335,618447.8031111112,8375615.995555555,6879809.352444445,1837070.764888889,5664582.559555556,590258.9057777778,2014
4795394,782647.4583333334,6694592.9375,2882661.7291666665,39179461.4375,4976426.166666667,3717634.7083333335,937289.125,20108038.3125,10049069.270833334,1480033.4583333333,1611797.875,12272202.645833334,6415344.395833333,2979217.3541666665,2868379.7708333335,4320196.833333333,4340133.145833333,1378962.4791666667,6008348,6537831.104166667,9138469.541666666,5296587.729166667,2840467.7916666665,6026786.8125,987948.3125,1825622.125,2846963.3541666665,1346450.5208333333,8654085.6875,2099952.8125,18992083.1875,10085219.5625,699753.8333333334,11235940.541666666,3825958.4166666665,3777997.75,12792303.3125,1031148.875,4934119.145833333,824797.3958333334,6370280.3125,27197757.854166668,2952762.6875,615070.2291666666,8469522.145833334,6896708.416666667,1828307.9583333333,5640003.333333333,596469.2291666666,2015
4781133.744,800835.5146666666,6717300.24,2858232.581333333,39603329.408,4918431.309333333,3752862.770666667,942956,20359911.04,10075815.218666667,1508978.9626666666,1609425.72,12074397.522666667,6370197.1866666665,2950559.013333333,2863775.5786666665,4296672.002666667,4276737.834666667,1391996.8293333333,6055192.608,6524147.629333333,8911087.909333333,5272672.493333333,2794167.3813333334,6015844.152,982342.2,1818543.832,2852039.629333333,1351877.8346666666,8590390.96,2099273.824,18849724.504,10169966.024,706298.5706666666,11131980.997333333,3831794.277333333,3738121.16,12794873.136,1024515.448,4994878.378666666,824547.0986666667,6339875.576,27589750.373333335,2980770.056,611023.1013333333,8563493.026666667,6903860.365333334,1817349.8506666666,5606963.762666667,602447.3653333334,2016
